Author,Title,PubDate,content
Web Desk,"Khatron Ke Khiladi 10, 12 July 2020 written update: Tejasswi Prakash's health deteriorates while contestants perform stunts with their friends",2020-07-12,"The episode begins with contestants getting a surprise from Rohit Shetty. The contestant's friends join them for an exhilarating episode of Khatron Ke Khiladi 10. Next, we see a preview of the upcoming episode. Rohit welcomes everyone for Darr Aur Dosti special episode. Karan introduces Abhishek Verma who is his best friend. They enact a funny scene in from of the audience and Karan makes Abhishek hold a reptile. Also Read - Khatron Ke Khiladi 10, 11 July 2020 written update: Dharmesh becomes the first finalist; Tejasswi Prakash faints during the ticket to finale stuntDharmesh introduces Kuwar Amarjeet Singh. Karishma introduces Salman Yusuff Khan and Karan pokes fun at her. Rohit puts Karishma and Salman through a test. Rohit has fun with them. Rohit talks to Smiriti who is here to support Shivin. Balraj introduces Shaleen Bhanot. Their camaraderie is hilarious. Rohit makes Shaleen and Amar dance. He makes Shaleen dance with a snake. Shaleen, snake and Amar groove together. Tejasswi introduces to Kabir who met them on the sets of her first TV show. Also Read - Khatron Ke Khiladi 10: 'Picture abhi baaki hai,' Karan Patel opens up on the finale of the seasonView this post on Instagram A post shared by Colors TV (@colorstv) on Jul 12, 2020 at 12:30am PDTRohit talks about the next stunt. He warns them that the one who loses would get fear fanda. The stunt will be performed by contestants and their partners. There's a hoop spring in which the contestants will have to climb with the help of special shows. The stunts will be performed by Shivin-Smiriti, Karishma-Salman and Balraj-Shaleen. Also Read - Hina Khan and Sidharth Shukla to team up for THIS show?Shivin-Smiriti begins the task. Shivin is sliding down after a while he started performing. Contestants cheer Shivin. Smiriti starts sliding down. Rohit guides Smiriti. Shivin gives Smiriti a push only to abort the stunt towards the end. Next to perform are Shaleen and Balraj. After a little difficulty, they start performing better. Shaleen aborts the stunt.The last to perform are Karishma and Salman. They are going steady in their stunt. They complete the stunt and get all three flags.View this post on Instagram A post shared by Colors TV (@colorstv) on Jul 12, 2020 at 2:30am PDTThe Score stands Shivin-Smiriti perform the stunt till 3:51 while Karishma and Salman completed the stunt in 2:03 seconds. Shaleen-Balraj aborted the stunt at 1:50 seconds. Rohit takes the contestants to a new location for their next stunt. Karishma and Salman perform a dance act.Next, the stunt would be performed by Tejasswi and Karan with their friends. The contestants and their partner would be sitting on a table with their heads inside a box. They have to transfer a key to their friend via their mouth. They have to unlock four locks. The twist includes that the box would be filled with surprise. The order would be decided by a game. They have to play pass the parcel in which the parcel is a bullfrog. Karan wins the game and sends Tejasswi first to perform the stunt.Tejasswi, however, gives up and reasons that she is not feeling well. Tejasswi reveals that her body has given up and that she cannot perform the stunt. Tears well up in Tejasswi's eyes and Rohit tries cheering her. Kabir cheers her up and they finally are ready to perform.View this post on Instagram A post shared by Colors TV (@colorstv) on Jul 12, 2020 at 3:30am PDTThe stunt begins and the stuntman put lizards and more little crawlies in their boxes. Tejasswi and Kabir perform it brilliantly. Karan and Abhishek perform it next. Stuntmen put lizards and other creepy crawlies in the box. Karan shivers throughout the performance. Rohit reveals that there is a difference of 7 seconds. Tejasswi and Kabir completed the stunt in 1:40 seconds while Karan and Abhishek took 1:33 seconds so Karan is safe and Tejasswi gets the fear fanda.Dharmesh and Amar also perform the stunt. Rohit reveals that the next stunt will be performed by Tejasswi Prakash and Shivin Narang along with their friends. The stunt will be performed by both contestants together. One of the contestants would be up on a dilapidated building. That contestant would take a crowbar and unlock it and throw it to the other one. The other one has to open a box and detonate a pull key. After which a blast will occur throwing the first contestant off the building and leave him hanging in the air.Shivin says he will stand up while Smiriti will detonate the bomb whereas Tejasswi opts to detonate the bomb and sends Kabir up. Both Shivin and Kabir begin the stunt. Kabir throws the crowbar first and throws it towards Tejasswi. Shivin struggles with the key. Tejasswi begins opening the crates. Shivin finally throws the crowbar and Smiriti begins arranging the boxes. Tejasswi completes the stunt. And Shivin is sent to the elimination stunt.The episode ends."
Web Desk,"Actress Divvya Chouksey passes away, ‘I am on my death bed,’ read her last Instagram message",2020-07-12,"Actress Divvya Chouksey, who made her Bollywood debut with the 2016 film Hai Apna Dil Toh Awara, passed away on Sunday after suffering from cancer. Her cousin sister Soumya Amish Verma wrote on Facebook. “I am very sad to share that my cousin Divvya Chouksey has passed away due to cancer at a very young age. She did an acting course from London and went on to feature in a couple of films and serials. She also rose to fame as a singer. Today, she left us. I wish God blesses her soul. RIP."" Also Read - Yeh Rishta Kya Kehlata Hai actor Mohsin Khan aka Kartik down with dengue!Divvya shared a heartbreaking note on her Instagram story yesterday. From the note it seemed that she knew about her death. She wrote, ""Words cannot suffice what I want to convey, the more the less, since it's been months am absconded and bombarded with plethora of messages. It's time I tell you guys, I am on my death bed. S**t happens. I am strong. Be there another life of non suffering. No questions please. Only god knows how much you mean to me. DC Bye.""Yeh Rishta Kya Kehlata Hai actress Niyati Joshi remembered the actress and wrote, ""We never connected the first time. It took us months to know eachother ,to be good friends . Today we lost a beautiful soul who fought this terrible disease CANCER for 1.5 years . You were always a fighter ,passionate about everything that u stepped into , extremely talented , vivacious . You wanted to release your own music video ,which you did all by urself. You have left us behind with some.beautiful memories . Your journey ended today but you will always be alive in my memories . Hope you in a better place my friend . SAHIL DC NYT group will always be incomplete without you .Love you Rip.""May her soul rest in peace."
Web Desk,Amitabh Bachchan's four bungalows sealed after Bachchan family gets infected by Coronavirus,2020-07-12,"Amitabh Bachchan's all four bungalows - Pratiksha, Janak, Vatsa and Jalsa have been sealed by Brihanmumbai Municipal Corporation (BMC) on Sunday. This is after Amitabh, Abhishek, Aishwarya and Aaradhya were tested positive for Covid-19. BMC, on Sunday, revealed that 30 people working at the bungalows have been tested for coronavirus and their results are awaited. Also Read - Abhishek Bachchan confirms that dad Amitabh and him will be hospitalized; Aishwarya Rai-Aaradhya quarantining at homeYesterday, Amitabh Bachchan and Abhishek Bachchan had tested positive and were admitted to Mumbai’s Nanavati hospital. Today, Aishwarya and Aaradhya were also tested positive. Abhishek revealed it on twitter today. Also Read - Aishwarya Rai Bachchan's Sarbjit co-star Ranjan Sehgal dies at 36 due to multiple organ failureAishwarya and Aaradhya have also tested COVID-19 positive. They will be self quarantining at home. The BMC has been updated of their situation and are doing the needful.The rest of the family including my Mother have tested negative. Thank you all for your wishes and prayers ?? — Abhishek Bachchan (@juniorbachchan) July 12, 2020Amitabh Bachchan took to Twitter yesterday and wrote, “I have tested CoviD positive .. shifted to Hospital .. hospital informing authorities .. family and staff undergone tests , results awaited ..All that have been in close proximity to me in the last 10 days are requested to please get themselves tested!” Also Read - Hema Malini DISMISSES illness reports with a sweet videoT 3590 -I have tested CoviD positive .. shifted to Hospital .. hospital informing authorities .. family and staff undergone tests , results awaited ..All that have been in close proximity to me in the last 10 days are requested to please get themselves tested ! — Amitabh Bachchan (@SrBachchan) July 11, 2020Soon after his tweet, even Abhishek Bachchan wrote that he had Covid-19. He took to Twitter and wrote, “Earlier today both my father and I tested positive for COVID 19. Both of us having mild symptoms have been admitted to hospital. We have informed all the required authorities and our family and staff are all being tested. I request all to stay calm and not panic. Thank you.”Earlier today both my father and I tested positive for COVID 19. Both of us having mild symptoms have been admitted to hospital. We have informed all the required authorities and our family and staff are all being tested. I request all to stay calm and not panic. Thank you. ?? — Abhishek Bachchan (@juniorbachchan) July 11, 2020Amitabh Bachchan was seen in Shoojit Sircar’s Gulabo Sitabo."
Web Desk,Congratulations! Brooklyn Beckham announces engagement with Nicola Peltz,2020-07-12,"Celebrity couple David and Victoria Beckham's son Brooklyn is engaged to girlfriend, actress Nicola Peltz. Also Read - Bobby Deol and his son Aryaman are India's answer to David and Brooklyn BeckhamBrooklyn, 21, has been dating Nicola, 25, for seven months, and he took to Instagram to share the news. A photo of them together showed Nicola wearing her engagement ring, reports mirror.co.uk. Also Read - Victoria Beckham thanks son Brooklyn Beckham for being her date at Paris Fashion Week - view pic""Two weeks ago I asked my soul mate to marry me and she said yes. I am the luckiest man in the world. I promise to be the best husband and daddy one day. I love you baby,"" Brooklyn wrote. Also Read - OMG: David Beckham and son Brooklyn involved in a car accident!View this post on Instagram A post shared by ?? (@brooklynbeckham) on Jul 11, 2020 at 6:26am PDTAccording to a source: ""Brooklyn has been telling his friends in LA that he and Nicola are engaged. It's common knowledge among their group of friends. They are smitten.""Meanwhile, the source added: ""David and Victoria have very much given this relationship their blessing. It's a very exciting time for the whole family and after a few previous rocky relationships, they think Brooklyn has landed on his feet.""Last summer, Brooklyn had split from model Hana Cross.He and Nicola announced their relationship in January by posting a black-and-white picture of themselves wearing towels."
Web Desk,Naagin 5: Ekta Kapoor says she has no idea who will be the next Naagin,2020-07-12,"Naagin 5 is one of the hot topics in the entertainment world right now. Ekta Kapoor's brainchild, Naagin has reached it's fourth installment and would soon make way for the fifth. The TV czarina is quite excited for the same however, she recently revealed that she has no clue who the next Naagin would be. Ekta took to her social handle and shared a video from her zoom meeting session with her creative team of Naagin 5. Also Read - Will Anita Hassanandani return in Naagin 5? The actress answers""So, Ive been doing Zoom meetings with the team, but they’re not even telling Me who is ‘Naagin’ in ‘Naagin 5’ ...from what I know, there are 2... can someone help me pls!! ? ? My creative producers and writers are keeping me out of it ...Maybe @colorstv can tell me !! #Naagin @balajitelefilmslimited,"" she captioned the video post. Have a dekko here: Also Read - Karan Patel REVEALS he was approached for Naagin 5, but Ekta Kapoor decided to cast him as Mr BajajView this post on Instagram A post shared by Erk❤️rek (@ektarkapoor) on Jul 11, 2020 at 9:43am PDTMeanwhile, Naagin aka Nia Sharma from Naagin 4 recently shared amazing pictures in which she could be seen dolled up as a bride. In her post the actress has revealed that new episodes of Naagin 4 will air from 18th July onwards. ""If I’d ever be convinced about getting married, It would only be for dressing up so much or maybe i’d actually be blind in love...? #naagin4 #18thjuly @colorstv,"" she captioned the post. Have a look here: Also Read - Naagin 5: Asha Negi dismisses rumours of being a part of Ekta Kapoor's showView this post on Instagram A post shared byNia Sharma (@niasharma90) on Jul 12, 2020 at 1:57am PDTNaagin 4 finale would air soon and will see Karishma Tanna and Surbhi Jyoti returning as Naagins. ""Ekta wanted to keep the touch of her previous seasons intact with this one, hence the leads of previous seasons Mouni Roy and Surbhi Jyoti to be part of Naagin 5. Seeing all the four leading ladies in one frame will be sheer delight for the Naagin fans,"" a source close to the development told Spotboye.Are you excited about the same? Let us know by tweeting to us @bollywood_life."
Web Desk,"Ekta Kaul shares a cute picture with baby Ved, and we are all hearts",2020-07-12,"Ekta Kaul and Sumeet Vyas became proud parents of a baby boy in June. They have been sharing quite a few pictures on their social handles of their recently begun journey of parenthood. Recently, the actress shared a picture on her social handle and defined her motherhood journey so far. ""Being a mother isn’t an easy job but it’s definitely the best job one could ever have.. And there’s no greater honour, love and blessing. #maahood #merabeta #ved,"" she wrote alongside the cutest picture of Ved sleeping in Ekta's arms. Have a look at the post here: Also Read - Kalki Koechlin-Guy Hershberg, Ekta Kaul-Sumeet Vyas, Smriti Khanna-Gautam Gupta — 8 celebs who welcomed their newborns in the first half of 2020View this post on Instagram A post shared by Ekta Rajinder Kaul (@ektakaul11) on Jul 11, 2020 at 9:58pm PDTSumeet Vyas also shared the same picture and wrote, ""Mama’s boy... ?"" Also Read - Sumeet Vyas is bowled over by new mommy Ekta Kaul, writes, 'They’re already a team and I’m just a comic relief in his routine'Meanwhile, earlier, the Veere Di Wedding actor had opened up on naming his boy Ved. ""Long ago, one of our relatives was having a child and we were discussing names when Ved came up and stayed with me. I decided if I have a boy, I’ll name him Ved. Since we come from the line of Ved Vyas, it makes sense,"" he told Mumbai Mirror. Also Read - Ekta Kaul shares first pic of son Ved sleeping beside his dad, actor Sumeet Vyas""We couldn’t trust a multi-facility hospital at a time like this. It was a normal delivery and both Ekta and Ved are doing fine,"" Sumeet opened up on delivering the baby in his aunt's clinic.""She’s doing okay. She’s very well organised and has everything planned out. Like bachche ke kapde, first month me jo cheezein lagengi, she way ahead,"" Sumeet had praised wife, Ekta Kaul on managing everything so well.After couple of days ago, Sumeet had shared a heartwarming picture praising his wife and hailing his son saying, ""Don’t think i can ever take any credit if he turns out to be Awesome. I’m sure he will, coz she definitely is the most Awesome Mommy I’ve seen, after mine... They’re already a team and I’m just a comic relief in their routine... #EktaMaa #vedvyas."""
Web Desk,Abhishek Bachchan confirms that dad Amitabh and him will be hospitalized; Aishwarya Rai-Aaradhya quarantining at home,2020-07-12,"Last night, we got the worrying news that Amitabh Bachchan and his son, Abhishek have tested positive for COVID-19. The megastar is now in the Nanavati Hospital. While Amitabh Bachchan is in the isolation ward, Abhishek Bachchan is in the general ward. There were rumours that Abhishek Bachchan had returned back home to Jalsa. However, he has cleared the air on Twitter. He has confirmed that he will be hospitalized for some days along with his father. Aishwarya Rai Bachchan and daughter Aaradhya are self-quarantining at home. Both of them have also tested positive. Jaya Bachchan's tests have come out negative. Also Read - Aishwarya Rai Bachchan's Sarbjit co-star Ranjan Sehgal dies at 36 due to multiple organ failureAishwarya and Aaradhya have also tested COVID-19 positive. They will be self quarantining at home. The BMC has been updated of their situation and are doing the needful.The rest of the family including my Mother have tested negative. Thank you all for your wishes and prayers ?? — Abhishek Bachchan (@juniorbachchan) July 12, 2020My father and I remain in hospital till the doctors decide otherwise. Everyone please remain cautious and safe. Please follow all rules! — Abhishek Bachchan (@juniorbachchan) July 12, 2020Abhishek Bachchan and Amitabh Bachchan have been flooded with get well soon messages. It seems Mr Bachchan is stable. He has slept soundly at night. The hospital was supposed to issue a bulletin at 12 pm but he told them that he would inform his fans via social media. Amitabh Bachchan has told people to take care in this extreme situation. Dr Ansari is looking after them. Also Read - Hema Malini DISMISSES illness reports with a sweet videoThe coronavirus pandemic has hit B-Town. Anupam Kher's mom Dulari has been admitted to the Kokilaben Dhirubhai Ambani Hospital. His brother Raj Kher and his whole family is also positive with COVID-19. Zoa Morani, Kanika Kapoor and Kiran Kumar also contracted the flu. The bungalow of Rekha has been sealed as one of her guards is tested positive. We hope people get well soon, prayers for all! Also Read - Aishwarya Rai Bachchan and Aaradhya Bachchan test positive for Coronavirus"
Web Desk,"Bigg Boss 14: Kamaal R Khan wants Ranveer Singh as the host instead of Salman Khan; fans say, 'Rohit Shetty chalega'",2020-07-12,"Bigg Boss 14 is coming on air in October. As of now, the makers are locking in the final contestants for the controversial reality show. It seems Salman Khan has agreed to host the show though he was rather upset during the last season. The makers are apparently paying Rs 16 crore to Salman Khan. In the middle of all, Kamaal R Khan who has been trolling the superstar since quite some time tweeted that Ranveer Singh would be a better option. He said that it would nice to see a fresh face and it would be good for the channel and producers as well. Needless to say, he got mixed opinions. Also Read - Kamaal R Khan hits out at Hansal Mehta, says, 'What Hansal or anybody else can snatch from me?'I personally think that @RanveerOfficial can be a very good host of #BiggBoss, So producers @ColorsTV @EndemolShineIND can replace Salman with Ranveer! And it will be good for the show for many more years in the future. — KRK (@kamaalrkhan) July 12, 2020He got mixed reactions from people. Those who are against nepotism suggested names like Ayushmann Khurrana and his brother, Aparshakti. Others even took names like Nawazuddin Siddiqui and Rajkummar Rao. Many felt that Ranveer Singh was a crazy package of entertainment and would be fun. However, people opined that no one amongst the contestants would take him seriously on the Weekend Ka Vaar. As we know, things can get really bad and Salman Khan has the towering personality. Last season, the contestants did not bother much about him as well. Also Read - Hansal Mehta requests Amitabh Bachchan to unfollow Kamaal R Khan on social mediaAbe chodu bigg boss replace ho jayga but salman khan ni — Pratik soni (@Pratiksoni01) July 12, 2020Bas kar @kamaalrkhan ab ranveer na jhela jayega...he is more of a cartoon... — (@PreetiJ61090766) July 12, 2020The reason of bigg boss success is Salman khan,No One can replace him untill he himself refuse to host. — Mehran saleem (@mehranb65977951) July 12, 2020Bhai @RanveerOfficial ko gussa nhi aata he to woh kese handle karega housemates ko — MR.विलेन? (@MRVillain420) July 12, 2020रणवीर सिंह की इतनी औकात नहीं है कि वह सलमान खान का को पछाड़ सके — Dinesh Saini (@DineshS63787171) July 12, 2020Many felt that Rohit Shetty would be a better option. We saw in Bigg Boss 13 how he entered the show to announce Sooryavanshi. That day, Asim Riaz and Sidharth Shukla had a terrible fight with some of the choicest expletives being hurled from both sides. He entered inside and they calmed down. He also shut down Mahira Sharma once. Rohit Shetty has the commanding personality that the contestants need! Also Read - #FakeKRKRealCulpritOfSushant: Sushant Singh Rajput's fans slam Kamaal R Khan for fake show of sympathy"
Web Desk,"Parth Samthaan tests positive for COVID-19: Hina Khan, Niti Taylor and others pour in wishes for the actor",2020-07-12,"Just about an hour ago, Television actor Parth Samthaan took to his Instagram handle and revealed that he has been tested positive for the novel coronavirus. Parth had resumed shooting amidst the COVID-19 pandemic on June 27th. The actor was excited yet nervous to be on the sets. The actor had shared BTS pictures from the shoot saying, ""Back to Shoot after 3 months ? Back to normalcy! #unlockindia."" Parth testing positive for COVID-19 has shocked his fans and colleagues though the actor in his post said that he has mild symptoms of coronavirus. Also Read - Coronavirus pandemic: Kasautii Zindagii Kay 2's Parth Samthaan tests positiveWishes started pouring in Parth Samthaan no sooner than he shared the same. Hina Khan, Niti Taylor and other friends and colleagues took to their social handle to wish the actor a speedy recovery. ""You will be fine my friend.. Godspeed! I am just a few buildings away,"" Hina commented on Parth's post. Also Read - Khatron Ke Khiladi 10: 'Picture abhi baaki hai,' Karan Patel opens up on the finale of the seasonNiti Taylor commented saying, ""Parth wishing you a speedy recovery. Good health and strength come your way. Take care be safe."" Also Read - Karan Patel on pay cuts: I will ask my producer to pay the makeup people and other guys before meArjun Bijlani advised him to take steams. ""Take care and pl take steam 2-3 times,"" he wrote in comments.Aparna Dixit too commented saying, ""Speedy recovery Parth! Stay strong""Scarlett Rose also commented, "" You will be recover soon. Don't stress and rest. See you soon Parthu."" Have a look at their comments pics here:“Hi everyone , I have been tested Postive for covid 19 .although I have mild symptoms.. I would urge and request everyone whose been with me in close promitixy over the last few days please go and get yourself tested . The Bmc has regularly been in touch and with the doctors guidance I am in self quarantine and I am grateful to them for all their support . Please be safe and take care,” Parth had written in post.Following the discovery, others from the test have been undergoing the tests as well as per the protocol."
Web Desk,Coronavirus pandemic: Kasautii Zindagii Kay 2's Parth Samthaan tests positive,2020-07-12,"Coronavirus pandemic is spread fast and is getting more deadly than ever. The country had been in the lockdown for three months until now but that has not brought the numbers of the positive-tested patients down. Instead, it is growing every day in the country. Recently, the shoots of films and TV shows had begun after about 100 days. Kasautii Zindagii Kay 2 was one of the TV shows that began shooting first. And now, the production house has reported that one of the talents from the TV show has been tested positive of the novel coronavirus. Also Read - Khatron Ke Khiladi 10: 'Picture abhi baaki hai,' Karan Patel opens up on the finale of the seasonBalaji Telefilms took to their Twitter handle and shared the news. ""We would like to inform various stakeholders that one of our talent from the show Kasautii Zindagii Kay has tested positive for COVID-19 and is now receiving medical attention. Our first priority is to help protect our talent, production crew and employees. We are taking all the precautions detailed in guideline. We were and continue following all medical protocols set by the authorities and have implemented guidelines concerning social interactions, hygiene, travel and visits to the sets."" (sic). Also Read - Karan Patel on pay cuts: I will ask my producer to pay the makeup people and other guys before meNo sooner than this was tweeted it was said that Parth Samthaan who had been shooting for the show has been tested positive. The actor confirmed the same in a post that read, ""Hi everyone, I have been tested Positive for covid 19 .although I have mild symptoms.. I would urge and request everyone whose been with me in close promitixy over the last few days please go and get yourself tested . The Bmc has regularly been in touch and with the doctors guidance I am in self quarantine and I am grateful to them for all their support . Please be safe and take care ?"" Have a look at his post here: Also Read - #BLBestOf6: Shaheer Sheikh-Rhea Sharma, Mohsin Khan-Shivangi Joshi, Parth Samthaan-Erica Fernandes — VOTE for the Best TV Jodi in the first half of 2020View this post on Instagram A post shared byParth Samthaan (@the_parthsamthaan) on Jul 12, 2020 at 4:27am PDTGodspeed and wishing you a speedy recovery Parth."
