Author,Title,PubDate,content
Web Desk,Eagles WR DeSean Jackson apologizes for anti-Semitic post,2020-07-08,"PHILADELPHIA: Philadelphia Eagles wide receiver DeSean Jackson has apologized after backlash for sharing anti-Semitic posts on social media over the weekend.Jackson initially posted a screenshot of a quote widely attributed to Adolf Hitler, saying in part: “Jews will blackmail America.” In another post, Jackson showed support for Louis Farrakhan, the Nation of Islam leader who is known for anti-Semitic rhetoric.“My post was definitely not intended for anybody of any race to feel any type of way, especially the Jewish community,” Jackson said in a video he posted on Instagram on Tuesday. “I post things on my story all the time, and just probably never should have posted anything Hitler did, because Hitler was a bad person, and I know that.”The team issued the following statement: “We have spoken with DeSean Jackson about his social media posts. Regardless of his intentions, the messages he shared were offensive, harmful, and absolutely appalling. They have no place in our society and are not condoned or supported in any way by the organization. We are disappointed and we reiterated to DeSean the importance of not only apologizing but also using his platform to take action to promote unity, equality, and respect. We are continuing to evaluate the circumstances and are committed to continuing to have productive and meaningful conversations with DeSean, as well as all of our players and staff, in order to educate, learn, and grow.”The NFL also issued a statement, saying: “DeSean’s comments were highly inappropriate, offensive and divisive and stand in stark contrast to the NFL’s values of respect, equality and inclusion. We have been in contact with the team which is addressing the matter with DeSean.”Jackson, a three-time Pro Bowl pick, is in his second stint in Philadelphia, returning last season to the team that drafted him in the second round of the 2008 draft.Former Eagles president Joe Banner criticized Jackson on Twitter. Banner wrote: “If a white player said anything about (African-Americans) as outrageous as what Desean Jackson said about Jews tonight there would at least be a serious conversation about cutting him and a need for a team meeting to discuss. Which would be totally appropriate. Absolutely indefensible.”Banner, who also worked for Cleveland and Atlanta, later shared an anti-Palestinian tweet with the hashtag “Palestinianprivilege getting away with murder.”"
Web Desk,Eagles WR DeSean Jackson apologizes for anti-Semitic post,2020-07-08,"PHILADELPHIA: Philadelphia Eagles wide receiver DeSean Jackson has apologized after backlash for sharing anti-Semitic posts on social media over the weekend.Jackson initially posted a screenshot of a quote widely attributed to Adolf Hitler, saying in part: “Jews will blackmail America.” In another post, Jackson showed support for Louis Farrakhan, the Nation of Islam leader who is known for anti-Semitic rhetoric.“My post was definitely not intended for anybody of any race to feel any type of way, especially the Jewish community,” Jackson said in a video he posted on Instagram on Tuesday. “I post things on my story all the time, and just probably never should have posted anything Hitler did, because Hitler was a bad person, and I know that.”The team issued the following statement: “We have spoken with DeSean Jackson about his social media posts. Regardless of his intentions, the messages he shared were offensive, harmful, and absolutely appalling. They have no place in our society and are not condoned or supported in any way by the organization. We are disappointed and we reiterated to DeSean the importance of not only apologizing but also using his platform to take action to promote unity, equality, and respect. We are continuing to evaluate the circumstances and are committed to continuing to have productive and meaningful conversations with DeSean, as well as all of our players and staff, in order to educate, learn, and grow.”The NFL also issued a statement, saying: “DeSean’s comments were highly inappropriate, offensive and divisive and stand in stark contrast to the NFL’s values of respect, equality and inclusion. We have been in contact with the team which is addressing the matter with DeSean.”Jackson, a three-time Pro Bowl pick, is in his second stint in Philadelphia, returning last season to the team that drafted him in the second round of the 2008 draft.Former Eagles president Joe Banner criticized Jackson on Twitter. Banner wrote: “If a white player said anything about (African-Americans) as outrageous as what Desean Jackson said about Jews tonight there would at least be a serious conversation about cutting him and a need for a team meeting to discuss. Which would be totally appropriate. Absolutely indefensible.”Banner, who also worked for Cleveland and Atlanta, later shared an anti-Palestinian tweet with the hashtag “Palestinianprivilege getting away with murder.”"
Web Desk,Int’l Kabaddi tournament to be held in Pakistan in December,2020-07-07,"ISLAMABAD: International Kabaddi tournament will be held in Pakistan in December this year, provided Corona pandemic comes under control.In an interview, Secretary Pakistan Kabaddi Federation, Mohammad Sarwar Rana said six countries including host Pakistan, India, Afghanistan, Iran, Canada and Australia will take part in the event, in which one more team may be added later. He said consent from all participating teams has been received."
Web Desk,"ECB confirms schedule for Pakistan, Ireland visits",2020-07-07,"LONDON: England have confirmed Emirates Old Trafford and the Ageas Bowl as the venues for fixtures against Ireland and Pakistan this summer. Ireland will visit later this month for three ODIs, while Pakistan have already arrived in the country ahead of Test and T20I series.The ECB has been working to salvage as much of its home international programme as possible after the Covid-19 shutdown, and said that discussions remained ongoing about the possibility of Australia touring, and a proposed women’s tri-series featuring England, India and South Africa.Ireland had been due to play their series, part of the World Cup Super League, in September but agreed to move the games forward, with all three ODIs to be held behind closed doors in Southampton from July 30 to August 4.The first Test against Pakistan will begin a day later in Manchester, with the teams then moving down to Southampton for the second and third matches at the Ageas Bowl, starting on August 13 and 21. They will return to Manchester for T20Is at Emirates Old Trafford on August 28, 30 and September 1.“Confirmation of these matches against Ireland and Pakistan is another important step for our game as we begin to safely stage international cricket again, but also to minimise the impact the Covid-19 pandemic has had, and will continue to have, on cricket at all levels,” ECB chief executive Tom Harrison said.“It has taken significant effort and expertise to allow us to reach a position where cricket is now ready and able to return to the field of play from the elite level to recreational cricket.“We owe a significant debt of gratitude to the players, staff and administrators of the Cricket West Indies, Cricket Ireland, and the Pakistan Cricket Board for their willingness and co-operation to get international cricket back up and running and allow these matches to be staged.“Sports fans across the world will benefit as international cricket returns to our screens while it will also provide much-needed financial aid at all levels of cricket in England and Wales as we aim to withstand the challenges in front of us.“It must be reiterated that there is still much work for the ECB and the cricket network to do as we try to plot a path through this pandemic. Chief amongst our priorities is to build on our commitment to support and grow women’s cricket and at the elite level discussions continue to progress to determine the best and safest way to host a tri-series against India and South Africa.“We also continue to explore options for our England men to play white-ball series against Australia this summer and hope to have news on those series soon.”The majority of Pakistan’s 29-man squad flew to the UK in late June, despite disruption caused by a number of positive Covid-19 tests. Ten players did not take the initial flight, but all but one have now returned the two negative tests required to participate in the tour.Like West Indies and Pakistan, Ireland’s players are expected to given an ‘opt out’ by the selectors in case any have concerns about Covid-19 in the UK."
Web Desk,"As relegation battle looms, tensions mount high in Premier League",2020-07-07,"LONDON: Tensions are high as the fight to avoid relegation heads towards a dramatic conclusion in the English Premier League with only a few games left to go.With just five games left, rock bottom Norwich are seven points from safety and are sliding towards the Championship.Bournemouth and Aston Villa, who currently fill the remaining two places in the relegation zone, are locked in a four-team battle for survival with fellow strugglers Watford and West Ham.Here’s a closer look at the teams scrapping to preserve their top-flight status:BOURNEMOUTHThrashed 5-2 at Manchester United on Saturday, Eddie Howe´s side are in free-fall after an eight-game winless run featuring five successive defeats.The second bottom Cherries, one point from safety, face Tottenham, Leicester and Manchester City in their next three games.That sequence that will surely determine whether Bournemouth can extend their five-season stay in the top-flight for another year.Bournemouth’s lack of goals has been a huge part of their downfall, with the starting line-up at Old Trafford managing just eight between them so far this season.“Games are running out. If we´re going to stay in the division, we’re going to have to start picking up points,” Bournemouth winger Junior Stanislas said.“We’ll have no excuses. We can´t keep talking. It´s time for action.“There’s no reason why from now until the end of the season we can´t pick points up.”ASTON VILLAA wretched run of nine matches without a win has left third bottom Villa one point from safety.Dubious pre-season investment in several underwhelming signings have left Villa relying on captain Jack Grealish to inspire their survival bid.But Dean Smith’s side have lost three of their five games since the restart and still have to face Manchester United and Arsenal before a potential final-day shootout with West Ham.They could count themselves unfortunate not to have secured what would have been a point at Anfield in Sunday’s 2-0 defeat against champions Liverpool.That obdurate display offered hope that Villa could still avoid an immediate return to the Championship, but Smith knows they will have to be more ruthless to achieve that aim.“I don’t want to be a valiant loser, we´re scrapping for points,” Smith said.“To out-shoot Liverpool at home at Anfield, in terms of efforts on goal, it’s excellent, but we need to take our opportunities. We never found the quality in the final third they did.”WATFORDSaturday’s 3-0 drubbing at Chelsea condemned Watford to a third consecutive loss, leaving them perilously positioned one point above the bottom three.Nigel Pearson’s fourth bottom team have not won just their stunning 3-0 success against Liverpool on February 29.After five years in the top-flight, the Hornets, who face Manchester City and Arsenal in their last two games, could find their fate settled by Tuesday’s home clash with Norwich and a visit to West Ham on July 17.“The important thing is we understand our situation, that we don’t fear it,” said Pearson, whose men have managed just two goals in their last five games.“We need to show fighting spirit, and we also need to have the ability to still make good decisions.”WEST HAMSitting four clear of the relegation zone in 16th place, West Ham are in the best position to stay up thanks to their surprise 3-2 win over Chelsea last week.Twice blowing the lead in Sunday’s 2-2 draw at Newcastle was a setback in their survival bid, but David Moyes´ side have control of their own destiny.West Ham have now lost 24 points from winning positions in the Premier League this season, more than any other side.But with games against Norwich, Watford and Aston Villa to come, their forward Michail Antonio is confident of beating the drop.“The mindset for our next few games is that we want three points from each of them, and that’s what we believe we can get,” said Antonio, whose club have not been in the Championship since 2012.“Now we’ve managed to show our attacking form and we are scoring goals, we need to shore up our back as well.”"
Web Desk,"Chelsea, Manchester United win as battle for Premier League top four heats up",2020-07-05,"LONDON: Chelsea beat Watford 3-0 on Saturday to hold on to their place in the Premier League’s top four after Manchester United briefly powered past with a 5-2 rout of struggling Bournemouth.Third-placed Leicester also got back on track with Jamie Vardy reaching 100 top-flight goals in a comfortable 3-0 win against Crystal Palace, while Arsenal dealt a blow to Wolves’ Champions League chase by winning 2-0 at Molineux on Saturday.United’s fearsome front four of Marcus Rashford, Anthony Martial, Bruno Fernandes and Mason Greenwood, who netted twice, were all on the scoresheet as Ole Gunnar Solskjaer’s men hit five goals in a home Premier League game for the first time since 2011.“Confidence is sky high. You get energy and confidence by performances and results and we are getting that at the minute,” said Solskjaer, who is feeling the benefits of a 16-match unbeaten run.“I have enjoyed the last few games to be honest and it is healthy. You don’t age as quickly!”Bournemouth are moving fast in the other direction as they remain second bottom and the Cherries’ defensive problems were quickly exposed after they took a shock 16th-minute lead through Junior Stanislas.Greenwood got the comeback started as he smashed home from Fernandes´s pass before Rashford, from the penalty spot and Martial, with a stunning shot into the top corner, scored their 20th goals of the season,“Mason is one of the best if not the best finisher I have worked with and seen,” added Solskjaer. “He is so calm. He knows where to finish if it is on the training ground, here or in his garden at home.”Bournemouth were given hope when Josh King scored from the spot after Eric Bailly handled inside his own box just four minutes after coming on as a half-time substitute.But there was no stopping Solskjaer’s men going forward and Greenwood restored their two-goal cushion with another powerful drive, this time on his weaker right foot, before Fernandes then capped another influential display with a fine free-kick.Chelsea shrugged off a shock 3-2 defeat at West Ham in midweek with a routine win at Stamford Bridge.Olivier Giroud was recalled up front and repaid Frank Lampard with a smart finish to break the deadlock before Willian´s penalty made it 2-0 before half-time.Ross Barkley added the third in stoppage time to move Chelsea back two points ahead of fifth-placed United.A third defeat in four games since the restart leaves Watford still just one point above Bournemouth and Aston Villa in the battle to beat the drop.Arsenal kept their hopes of European football next season alive moved by ending Wolves’ eight-game unbeaten run in impressive fashion to move up to seventh.Bukayo Saka celebrated signing a new long-term deal this week by hooking in the opener just before half-time and Alexandre Lacazette came off the bench to seal all three points for Mikel Arteta´s men four minutes from time.“Every game you have no margin for error, we know that we try to win every game,” said Arteta of Arsenal’s top-four chances.Defeat leaves Wolves five points behind Chelsea."
Web Desk,Sri Lanka minister offers ICC evidence to prove World Cup 2011 was fixed,2020-07-05,"COLOMBO: Former Sri Lankan sports minister Mahindananda Aluthgamage has said he has more evidence to International Cricket Council (ICC) that he says shows the 2011 World Cup was fixed.Aluthgamage’s remarks come a day after local police dropped an investigation into the claims, citing a lack of evidence that Sri Lanka deliberately lost the final to hosts India.Police had grilled former chief selector Aravinda de Silva, opening batsman Upul Tharanga and the 2011 captain Kumar Sangakkara — the latter for nearly 10 hours.But Aluthgamage, who was sports minister at the time and is now state minister for energy, said there were “powerful people who are spending huge sums of money to hush up the investigation”.He said that he has informed Alex Marshall, anti-corruption chief at the International Cricket Council (ICC), that he was ready to provide more evidence showing the match was thrown.Aluthgamage said police had failed to probe the claims properly and urged Sri Lankan President Gotabaya Rajapaksa to intervene and pressure the ICC to reopen an investigation.Marshall had said in a statement on Friday that “at this time” the ICC has “not been presented with any evidence that supports the claims made or which would merit launching an investigation”.But he said that the ICC takes “allegations of this nature extremely seriously and should we receive any evidence to corroborate the claims, we will review our current position.”Sri Lankan police have not publicly responded to Aluthgamage´s claims.The questioning of the nation’s cricketing heroes triggered criticism against the government on social media ahead of elections on August 5 when Rajapaksa’s party is hoping to secure a two-thirds majority in parliament."
Web Desk,Conflict of interest complaint against Virat Kohli,2020-07-05,"MUMBAI: A conflict of interest complaint has been filed against Virat Kohli for his positions in two business ventures.Complainant Sanjeev Gupta, a life member of the Madhya Pradesh Cricket Association, wrote an email to BCCI ethics officer-cum-ombudsman Justice (r) DK Jain and a number of BCCI executives, including president Sourav Ganguly and CEO Rahul Johri, arguing that Kohli’s various posts were in violation of the BCCI constitution. In his complaint filed on July 4, Gupta said that Kohli’s co-directors at Virat Kohli Sports (LLP) and Cornerstone Venture Partners (LLP) were also directors in Cornerstone Sport and Entertainment Private Limited, a talent agency that contracts Indian cricketers and handles their branding and commercial interests. Justice Jain said he was examining the complaint.“Shri Virat Kohli is occupying two posts at a time in blatant violation to BCCI Rule 38 (4) approved by Supreme Court of India. As such, he must relinquish his one post at once in compliance. His two posts are covered as under: A – 38(4)(a) – Player and B – 38(4)(o) – Contractual Entity, to be read with BCCI Rule 38(1) (iii),” Gupta’s complaint said.Rule 38(4) of the BCCI constitution prevents individuals from holding more than one of 16 posts: player (current), selector/member of cricket committee, team official, commentator, match official, administrator/office bearer, electoral officer, ombudsman & ethics officer, auditor, any person who is governance, management or employee of a franchisee, member of a standing committee, CEO & managers, office Bearer of a Member (state association), service provider (legal, financial etc.), contractual entity (broadcast, security, contractor etc.) and owner of cricket academy.“I have received a complaint,” Justice Jain told PTI on Sunday. “I will examine it and then see if the case is made out or not. If yes, then I have to afford an opportunity to him (Kohli) to respond.”Gupta had previously filed conflict of interest complaints against Sachin Tendulkar and VVS Laxman and also Rahul Dravid. In each of those instances, the ethics officer had served notices based on the complaints, but the former cricketers were eventually cleared."
Web Desk,"England stick with Denly, no room for Bairstow, Moeen Ali in Test squad",2020-07-04,"LONDON: England have opted for continuity ahead of the first Test against West Indies, with every member of their 13-man squad having featured on the tour of South Africa earlier this year. That means Joe Denly is set to retain his place in the batting line-up, while the main decisions will revolve around the make-up of the pace attack.Jofra Archer and Mark Wood, both of whom impressed during England’s warm-up game this week, maybe vying for one place, while Chris Woakes is the allrounder option in support of James Anderson and Stuart Broad. Sam Curran, who tested negative for Covid-19 after feeling unwell during the match, is among the nine reserves who will remain with the squad at the Ageas Bowl.Most noteworthy among those missing out were Jonny Bairstow and Moeen Ali, senior members of England’s white-ball squads but overlooked for the Tests. Bairstow had been a contender to come into the side in the absence of Joe Root, England’s Test captain who is missing the game in order to attend the birth of his child, but only managed scores of 11 and 39 in the three-day warm-up; James Bracey and Dan Lawrence, who both caught the eye with half-centuries, have been retained as the back-up batsmen.Dom Bess remains at the head of the pack among England’s spinners, keeping out Jack Leach, who is among the reserves, and Moeen. Bess claimed 3 for 72 in his outings for Team Buttler, while Leach and Moeen went wicketless for Team Stokes in the first innings and then conceded runs at six an over in the second.With Root having already left the camp, and Ben Stokes in line to become England’s 81st Test captain, the selectors have stuck with familiar names for the first of three matches in three weeks against West Indies. Rory Burns returns, having suffered ankle-ligament damage while playing football in South Africa, and seems set to open alongside Dom Sibley, with Denly and Zak Crawley the options to cover for Root’s absence at No. 4.Ollie Pope and Stokes will complete the batting line-up, while Jos Buttler retains the gloves, as head coach Chris Silverwood hinted during the week, with Ben Foakes retained as back-up keeper.In the fast-bowling department, England have Archer and Wood available to provide extra pace – but while there may be a temptation to deploy them together in Test cricket for the first time, Silverwood has previously hinted that they will likely be rotated in order to protect both from wear and tear. Archer has only recently recovered from an elbow stress fracture, having missed three Tests in South Africa and been omitted from the touring party for Sri Lanka in March.Although Broad went wicketless in the Ageas Bowl warm-up, he has been the automatic pick to partner Anderson with the new ball – currently on a run of 51 consecutive Test appearances at home – but Woakes will also have the chance to press his case.With the likelihood that England will have to rotate their seamers in order to keep them fresh – there are only three-day gaps between the Tests – the reserves include two uncapped quicks in Saqib Mahmood and Ollie Robinson, alongside Craig Overton and Olly Stone, who stays on despite not being fit enough to bowl in the warm-up game because of hamstring trouble."
Web Desk,Sri Lanka drops probe into 2011 World Cup final fixing allegations,2020-07-04,"COLOMBO: Sri Lankan authorities have said they are dropping a probe into match-fixing allegations surrounding the 2011 ICC World Cup final, saying they found no evidence of match-fixing by players.The world governing body of the sport, the International Cricket Council (ICC) said it had also looked into the recent allegations and found no reason to doubt the integrity of 2011 final, won by India.Former chief selector Aravinda de Silva, and the team’s skipper Kumar Sangakkara and opening batsman Upul Tharanga were questioned this week over suspicions that have dogged the match for years.“We are satisfied with their explanation,” a top police official told AFP. “The inquiry is now closed.”Sri Lanka’s four changes to the team just before the finals at Mumbai’s Wankhede stadium were raised as suspicious by a Sri Lankan minister, Mahindananda Aluthgamage last month. He was the minister of sports in 2011.The officer said police had spoken to the players and the chief selector.“They had reasonable explanations about the changes that were made to the final squad,” the officer said. “We found no evidence of any wrongdoing.”However, the ICC said it was willing to review its findings if presented with credible evidence.“We take all allegations of this nature extremely seriously and should we receive any evidence to corroborate the claims, we will review our current position,” ICC anti-corruption chief Alex Marshall said in a statement.“If anyone has any evidence that this match or any other has been subject to match-fixing, we would urge them to get in contact with the ICC Integrity team.”The sudden decision to end the Sri Lankan police investigators came after the 2011 team’s vice captain Mahela Jayawardena went to the Special Investigation Unit (SIU) office to give a statement.“We will give our maximum cooperation,” Jayawardena told reporters before leaving the SIU when officers refused to accept his testimony and told him to return later.Jayawardena had been called in after Sangakkara was grilled for nearly 10 hours by detectives on Thursday.POLITICAL BACKLASHThe investigation has led to a social media backlash against the government which is facing a parliamentary election on August 5.Opposition legislator Bimal Rathnayake poked fun at the police over the marathon grilling of Sangakkara, who is also president of England´s prestigious Marylebone Cricket Club.He tweeted that a 50-over cricket match lasts around 7-8 hours, even if all 100 overs are bowled, adding: “Committee questioned Sanga for 9 hours! Did they question him ball by ball?”Sri Lanka’s Opposition leader Sajith Premadasa said police dropped the high-profile match fixing probe following the social media and political backlash.“Magic of ‘People Power’ has worked,” Premadasa said on Twitter. “Sri Lanka’s government has ultimately succumbed to public pressure and abruptly withdrawn the bogus, manipulated and politically motivated investigation… Bravo people of Sri Lanka!”Another former sports minister Harin Fernando, who introduced anti-corruption laws in November, said Aluthgamage should be prosecuted for making a false allegation against cricket legends.Match-fixing was made a criminal offence in the new law. Offenders face fines of up to 100 million rupees ($555,000) and up to 10 years’ jail.Aluthgamage faced a widespread backlash in the cricket-mad country for implicating former players in match fixingThere was no immediate comment from Aluthgamage over the cancellation of the investigation."
